date,actual,forecast,error
2022-11-19,7711,4085.8293823912527,3625.1706176087473
2022-11-26,3079,3630.227794318282,-551.2277943182821
2022-12-03,10885,4113.586256442942,6771.413743557058
2022-12-10,6612,3695.4774162912518,2916.5225837087482
2022-12-17,5852,3898.8848257538584,1953.1151742461416
2022-12-24,4284,3607.4103326884883,676.5896673115117
2022-12-31,6218,3969.5685427901417,2248.4314572098583
2023-01-07,14712,3735.503862827475,10976.496137172526
2023-01-14,9889,3564.8499504732017,6324.150049526798
2023-01-21,5968,3488.2090657574727,2479.7909342425273
2023-01-28,8038,3359.385314494272,4678.614685505729
2023-02-04,6575,3389.2643240025386,3185.7356759974614
2023-02-11,6510,3562.4215067894324,2947.5784932105676
2023-02-18,5290,3691.3845199333346,1598.6154800666654
2023-02-25,5072,3796.6880795489965,1275.3119204510035
2023-03-04,5372,3570.512883136891,1801.487116863109
